,NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
230,210056761614,2022,6,F,1,2,1,1,2,1,,0,,,,,,,,1501402,Belém,15,PA,1,1,1,1,1086.0,1055.0,1065.0,1076.0,452.7,486.3,532.1,388.2,CECADDCADABACAECDBEEBCADDCECAECABAADEDABEBADB,CCABACDDEBABACBCBAEBEABCAECBDBEBAADBEEACEADAB,DBBADBBBEDABDDEAEACDBEE.CCBCAEADADCDAAADBDECA,BBCECCABCACDACADDBBDAACABEDDAEDEADDABCEEBBBAB,0,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,120.0,160.0,120.0,120.0,80.0,600.0,D,D,B,B,6,B,A,B,D,A,A,B,A,B,B,B,A,A,A,A,A,E,A,A,A
231,210054885018,2022,13,F,1,2,1,2,0,2,,0,,,,,,,,3304557,Rio de Janeiro,33,RJ,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,D,H,F,F,3,C,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,C,A,A,A
232,210054567660,2022,11,F,1,3,1,1,0,1,,0,,,,,,,,1302603,Manaus,13,AM,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,B,A,A,5,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
233,210057010804,2022,8,F,2,1,1,1,6,1,,0,,,,,,,,3541406,Presidente Prudente,35,SP,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,D,D,D,F,4,B,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,B
234,210057515153,2022,6,F,1,1,1,1,0,1,,0,,,,,,,,1200401,Rio Branco,12,AC,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,H,E,A,A,4,D,A,B,C,A,B,B,A,B,A,B,A,A,B,A,A,C,B,A,B
235,210057777232,2022,3,F,1,2,1,1,1,1,,0,,,,,,,,4101804,Araucária,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,504.8,539.8,529.9,389.2,DAECEDCABAEAEADEDEACBCCACABCBDCEDBDBDBCDCAEBB,BEABCADAEDADADAECACBBDEDAAECABCEACCABEDDAADCB,A*EEECEEABCBBDBACBCABABECDBCDEAEDDBBACEDADBCE,DACABACDAEBCBDBACBDADACAECBCAABACECDCBCAECEAD,0,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,100.0,40.0,40.0,120.0,40.0,340.0,E,E,C,C,4,C,A,B,C,B,A,B,B,A,A,B,A,B,B,A,A,D,A,A,B
236,210056723526,2022,2,F,1,3,1,3,0,1,,1,,,,,,,,4308508,Frederico Westphalen,43,RS,0,1,1,0,,1057.0,1068.0,,,426.9,443.1,,,BADDBCDAAABDADBDDEEECEEEEDDDABAEEADBBDDCEDAAB,CBBEECACEEECDAAEBDBDCEACBAAEDAEAACCDCDBBBDEAE,,1,,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,,1.0,100.0,120.0,80.0,120.0,60.0,480.0,B,E,A,A,1,D,A,D,D,B,B,C,C,B,B,B,A,B,C,A,B,D,A,B,B
237,210057073343,2022,14,F,1,1,1,1,16,1,,0,,,,,,,,4309308,Guaíba,43,RS,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,D,B,D,B,1,B,A,B,B,A,A,B,B,B,A,B,A,A,B,B,A,B,A,B,B
238,210055487721,2022,4,F,1,1,1,1,1,1,,0,,,,,,,,4218707,Tubarão,42,SC,1,1,1,1,1088.0,1058.0,1067.0,1077.0,506.5,565.5,540.2,613.6,CEABCCADEEABCABEABAAEBDBDDACBDDAABCCBDACBEBCE,CBCACEEABECBADDBACABDCACEBECEBEAEBACEACCBCACD,BDDEDACDDBEEBDCBABECECAACAEAAEEBEADBBBACDBCCD,DCBDBACEACBCBEADDBABCEDCBBDBCBBAECDEABDCDEBAC,0,DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD,CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD,CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE,1.0,120.0,140.0,120.0,120.0,120.0,620.0,E,B,D,B,3,D,A,B,D,B,A,B,B,B,A,B,A,B,D,B,A,B,B,C,B
239,210054602613,2022,3,F,1,3,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,Rio Branco,12,AC,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,D,D,C,B,3,B,A,B,B,A,A,B,B,B,B,B,A,A,B,A,A,D,A,A,B
240,210057299772,2022,4,F,1,3,1,1,2,1,,0,,,,,,,,2301109,Aracati,23,CE,0,1,1,0,,1055.0,1065.0,,,522.8,482.3,,,DEABBEDEABDCECADCCABAADEEDDCA*ABCDCDCBBBAAACC,ADBDABCCCEACEDBBBBCDBABDEACBDEAAADAAACDDDEEEE,,0,,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,C,E,A,B,5,D,A,C,D,B,A,B,B,B,B,A,A,A,B,A,A,B,A,B,B
241,210056407325,2022,5,M,1,1,1,1,2,1,,0,,,,,,,,2307650,Maracanaú,23,CE,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,H,B,F,B,3,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
242,210055121668,2022,14,F,1,2,1,1,16,1,,0,,,,,,,,3304557,Rio de Janeiro,33,RJ,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,C,C,B,4,C,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,B,A,A,A
243,210055796918,2022,4,F,1,3,1,2,0,2,1.0,0,,,,,,,,2611101,Petrolina,26,PE,0,1,1,0,,1058.0,1067.0,,,482.4,503.0,,,EBDACCEEBECEAEDCBDAADECBBDAAACBAAEBDBCCDAAECD,DBBEDAAEDDEEBADCAAAAEEEACEDECDEDAABACAADDBDCA,,0,,CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD,CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC,,1.0,100.0,120.0,80.0,120.0,80.0,500.0,B,E,C,B,4,B,A,B,D,A,A,B,A,A,A,A,A,A,B,A,A,E,A,A,B
244,210057667800,2022,3,M,1,3,1,2,0,2,1.0,0,1200203.0,Cruzeiro do Sul,12.0,AC,2.0,2.0,1.0,1200203,Cruzeiro do Sul,12,AC,0,1,1,0,,1056.0,1066.0,,,506.5,545.1,,,ECDABADDBEEABDDBEEECBDBBACDABEEADCBCBCDDAAADE,DCEAADDBDADAEEAEBDBBBDEACCBDACEADDBCBCACBECAB,,1,,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,E,H,D,F,3,D,B,C,D,B,B,B,A,B,B,B,A,A,B,A,A,D,A,B,B
245,210057286480,2022,5,M,1,3,1,2,0,2,1.0,0,2926608.0,Ribeira do Pombal,29.0,BA,2.0,1.0,1.0,2926608,Ribeira do Pombal,29,BA,1,1,1,1,1085.0,1057.0,1068.0,1075.0,498.8,488.9,446.0,364.0,BCCABCCDADDBABACCBDEDADDADCBBDBBAAABCCBBCBDCE,ACBCAEBDCBACBBBCACACEDDACBEBBAEBDBBCACBCABDAA,CAACABCBECBACCBBBCEAEEDDBACBDBDABCDBDDCADADEB,CDBCABEEBADCAADECCDAEDDDBDABDABECBCDCCCCBDBCB,1,ADBADABEABCEEEACCBDDADDCBBCCAEBAEBEBEACCCDDDE,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE,1.0,120.0,180.0,80.0,120.0,100.0,600.0,B,B,C,A,4,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,B,B
246,210057135213,2022,2,F,1,3,1,2,0,3,1.0,0,,,,,,,,3201506,Colatina,32,ES,1,1,1,1,1087.0,1056.0,1066.0,1078.0,455.0,450.0,401.5,449.3,CCEBCEABAABBDCCACDCCEDECDDEDACBDAEDBDEDCBEBBD,EDBEBAEDCBCBEDCDECDBECDBCDBAEAEDBCEACBADCADEC,DBCEDCDDBCECBADADBCCDDBABDAABCBAEBBDBDACEECED,CBDCADACBECDEBDBBCECDCDCBEDBADEBEBABDDCBCECDE,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,160.0,160.0,140.0,160.0,160.0,780.0,D,D,A,B,4,C,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,C,A,A,B
247,210055127362,2022,6,F,1,3,2,1,3,1,,0,,,,,,,,2314102,Viçosa do Ceará,23,CE,1,1,1,1,1087.0,1056.0,1066.0,1078.0,418.6,383.6,360.8,397.4,EDDCEBDCDEECACCECDDDCBDBEEBDCEDEDBDCBEBDBEBAD,BDCDBDEADEACBDBBCAACD........................,DEBECECDBACBDCDCBEBCBDBCBECBDCDBCDDBDCDBCBACD,ABDEDCEDCBDCEDCCDBADDDAACCDDCCDEBADDEDCBEDBCE,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,180.0,120.0,120.0,120.0,660.0,D,C,A,A,4,A,A,A,C,B,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
248,210054720597,2022,7,M,1,3,1,1,2,1,,0,,,,,,,,4314407,Pelotas,43,RS,1,1,1,1,1087.0,1056.0,1066.0,1078.0,433.2,343.8,324.8,588.0,CBCDECDCDEABEDEECBCCBEDCBACEDCDCDDCCBECCBDCBE,BCCAAACBCCCAECCCCEDCBACECCEECCEDCBACCCBDCABEC,ACEEEADCDBCCACCEBCBACBCCCADCCEDDCAEBDCDBDDBBA,BDEDACCCDEACEABCDEBBEDCBACCDCABCACBCDACECAECA,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,80.0,100.0,80.0,100.0,140.0,500.0,C,C,B,A,3,C,A,B,C,A,B,B,B,B,A,B,A,A,B,A,A,C,A,B,B
249,210056613561,2022,4,F,1,2,1,1,1,1,,0,,,,,,,,2910800,Feira de Santana,29,BA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,D,E,F,C,4,A,A,B,C,A,A,B,A,A,A,A,A,A,A,A,A,D,A,A,B
250,210055640588,2022,6,M,1,1,1,1,3,1,,0,,,,,,,,2611606,Recife,26,PE,1,1,1,1,1086.0,1055.0,1065.0,1076.0,470.4,404.3,454.7,491.1,ACDADCAACBCDBCDCECECBDBDCAEEBCAABAEBDCBDDDEBB,CDACEEDCCDAEABDBCDACCACDDECCCCECCADDEBEBBDCDC,EABAAEBEEBBBDDEBAEAAAAECCCEBEBEEACBBADEDDCDDE,ABCABCDEBCECDBCCADEBCCBBDCAACBBEDBACBCADCAADC,1,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,120.0,120.0,100.0,120.0,100.0,560.0,G,G,D,D,5,B,A,B,D,A,B,B,A,B,A,A,A,A,B,A,A,E,A,B,B
251,210055043612,2022,12,M,0,3,1,1,13,1,,0,,,,,,,,2615300,Timbaúba,26,PE,1,1,1,1,1087.0,1056.0,1066.0,1078.0,517.1,582.8,508.2,572.9,ECEDCCBCBCECDDCBEDCEBEDCDEBACEABDABDAABCBBDBD,EADABECBCADCAEBCCEDEACAECEEDEEBEDAEACBBDAAADB,DCEEAADBCADCCECAADECCDCBEDEEAAABBAEACDACCECBD,BEEDACBBDDADEADCCAADEDCCBDACBBAECEBEDEBADCCCC,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,120.0,120.0,120.0,180.0,660.0,B,C,C,B,3,A,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,B,A,A,A
252,210055625986,2022,5,M,1,2,1,1,2,1,,0,,,,,,,,2709152,Teotônio Vilela,27,AL,0,1,1,0,,1056.0,1066.0,,,406.0,496.8,,,B.DCBAECECAEBADDAEDCACCEAADCCADEABACDCDADADEE,DACDBDEBCACADAACEDBBEECADBDBACEABEBDBDACEECAB,,1,,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,,1.0,80.0,40.0,40.0,80.0,40.0,280.0,A,B,A,A,4,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
253,210057494246,2022,6,M,1,3,1,1,0,1,,0,,,,,,,,1302603,Manaus,13,AM,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,C,F,F,B,5,B,A,B,C,A,A,B,A,B,A,A,A,A,A,A,A,B,A,A,B
254,210056857248,2022,11,F,0,2,1,1,12,1,,0,,,,,,,,2507507,João Pessoa,25,PB,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,B,B,B,B,5,C,A,C,D,A,A,B,A,B,A,A,A,A,B,A,A,C,A,A,B
255,210057695343,2022,3,F,1,2,1,2,0,2,,0,,,,,,,,2915601,Itamaraju,29,BA,1,1,1,1,1087.0,1056.0,1066.0,1078.0,417.7,467.6,497.6,499.7,AEEDEBBBEEBABBADADAEDDEAAABDADBECDBABDEBBDCCC,CBCCBADEBDEEBDAAEEEBBACECEBAACEDDECACCBECAEBA,ECCEDCDBCACADEABBDADBEBABBEAEDCADDBBDAABCACBB,BBECACAACABDEBDECDEACADDBCAEBEDDECAEBCADBDEEC,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,100.0,120.0,120.0,120.0,20.0,480.0,D,E,C,B,4,B,A,B,D,B,A,B,A,A,A,B,A,A,B,A,A,D,A,B,B
256,210057714160,2022,3,F,1,3,1,2,0,2,1.0,0,1302603.0,Manaus,13.0,AM,2.0,1.0,1.0,1302603,Manaus,13,AM,1,1,1,1,1088.0,1058.0,1067.0,1077.0,492.7,480.6,457.2,371.6,BCCCDEDBCDDABAEDEBDCABACADBEBCEAADBDCBCCBADCD,BEDDAECACECBADADDCADDCCCEEDCAEEBAEECACCACCDEA,BDCEEEEAADBDBDBACEABBACCCCBEBCBCEACACCBADDDED,AEBDAAEACECABDEECBDDABACEAEECEDECDDEBBDDEBDEB,0,DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD,CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD,CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE,1.0,80.0,120.0,120.0,120.0,120.0,560.0,E,B,C,B,4,B,A,B,C,A,A,B,A,B,A,A,A,A,A,A,A,B,A,A,A
257,210054551778,2022,12,M,1,2,1,1,0,1,,0,,,,,,,,4205407,Florianópolis,42,SC,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,D,D,C,B,2,C,A,C,C,A,A,B,A,B,A,B,A,A,B,B,A,D,B,A,B
258,210056347472,2022,6,F,1,2,1,2,0,2,1.0,0,2927408.0,Salvador,29.0,BA,1.0,1.0,1.0,2927408,Salvador,29,BA,1,1,1,1,1087.0,1056.0,1066.0,1078.0,511.1,608.6,515.6,539.0,CDEDDCABCDACACEBCDCCBAECDAAECDBBCBDEDADAAEECB,DDBBBCCDAAECBBACCEEBBDACDEDDBBBDDDEABCEEAAABB,CCBAAEDBCAABEDDAADACBCACDDEBEDEABBCCAEDBCEDAB,CDEDAAEBDDCDEBAEDEDCDAECBBDABACEBEAACDEBCBBCD,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,140.0,200.0,120.0,140.0,140.0,740.0,D,D,C,B,4,B,A,B,C,A,A,B,B,B,A,A,A,A,B,A,A,C,A,A,B
259,210057522237,2022,3,F,1,3,1,2,0,2,1.0,0,5215702.0,Palmeiras de Goiás,52.0,GO,2.0,1.0,1.0,5221403,Trindade,52,GO,1,1,1,1,1085.0,1057.0,1068.0,1075.0,423.6,468.7,456.5,433.5,BBADEEDBEDEBEABBCDAEADDBCCCEAEDEBABEACBDACEAE,DACEABEDDDCBDCBCDAEDCCDABBACEBBEBDDCBDAAECEAC,BEEBDBECDBCAEBCBDCEABBECBAAEAEAABACAADBDDBBDE,DCDCAEEBEDEDBDBBEDBADDBCBADCDDABDDECBADEEDDCB,1,ADBADABEABCEEEACCBDDADDCBBCCAEBAEBEBEACCCDDDE,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE,1.0,120.0,80.0,120.0,80.0,0.0,400.0,B,B,D,B,4,E,A,C,C,C,B,B,A,C,B,B,A,A,C,B,A,E,A,B,B
260,210055970608,2022,9,F,1,2,1,1,7,1,,0,,,,,,,,3519071,Hortolândia,35,SP,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,E,E,B,B,3,D,A,B,D,C,A,B,B,B,A,B,A,A,B,A,A,D,B,B,B
261,210054756147,2022,6,M,1,3,1,1,2,1,,0,,,,,,,,1501402,Belém,15,PA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,E,D,B,B,5,C,A,B,C,A,A,B,B,B,A,A,A,A,B,A,A,D,A,A,B
262,210056753099,2022,5,F,1,2,1,1,2,1,,0,,,,,,,,4304606,Canoas,43,RS,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,A,A,B,2,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A
263,210055899088,2022,11,M,1,1,1,1,3,1,,0,,,,,,,,3513009,Cotia,35,SP,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,B,B,B,B,3,C,A,B,C,B,A,B,B,B,B,B,A,A,B,A,A,C,A,B,B
264,210055926555,2022,11,F,1,2,1,1,0,1,,0,,,,,,,,3549904,São José dos Campos,35,SP,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,E,E,F,D,3,B,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,B
265,210057187733,2022,3,F,1,1,1,2,0,2,1.0,0,4304606.0,Canoas,43.0,RS,2.0,1.0,1.0,4304606,Canoas,43,RS,1,1,1,1,1086.0,1055.0,1065.0,1076.0,437.8,625.8,602.2,701.2,CBDCCDCDCCECCDDDDEECDCEECAEBEEEEECDCAEAEBACBB,DEABEEDAAEAABABECBEBCEDBAADEAEAACDCDCBCDABDCB,DCBDEEAAAAEBDDBABACCBAEECCBBEDBAADCBCCADACBDE,DBEAEEEBECACCCABCDBEBEACADECBBACDCBCBECDCDEDD,0,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,180.0,200.0,200.0,200.0,200.0,980.0,G,E,C,B,4,H,A,B,D,B,A,B,B,B,A,B,A,A,C,A,A,D,B,B,B
266,210056476122,2022,3,F,1,1,1,2,0,2,1.0,0,3550308.0,São Paulo,35.0,SP,2.0,1.0,1.0,3550308,São Paulo,35,SP,1,1,1,1,1086.0,1055.0,1065.0,1076.0,430.7,498.3,429.8,500.3,ACECBDCDBADDCAEDEBECDCBEAABDBECDABCAECBCDAECE,EAACCDCADBAABEBDAECBDBDBAAECBBACADBAEECDBBACE,EDCADCCBAECBCDBCDECBAAABCBEDBDCDDCCADDAEEABCB,BBEDCCBDEBABDCADACBBDEDACBACDEBDCCEACDBAEBABD,1,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,140.0,120.0,100.0,120.0,60.0,540.0,D,D,B,B,6,D,A,C,D,B,A,B,A,B,A,B,A,A,C,A,A,E,A,A,B
267,210054631633,2022,13,F,1,1,1,1,16,1,,0,,,,,,,,2910800,Feira de Santana,29,BA,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,B,C,A,A,1,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
268,210055736507,2022,2,F,1,1,1,1,1,1,,0,,,,,,,,2504009,Campina Grande,25,PB,1,1,1,1,1088.0,1058.0,1067.0,1077.0,507.5,515.3,573.9,545.0,CACCBCAEEACBAAABABAABADDBAACDDCBDCBCABEABEACE,CBCEBEBCCDCBAAAAAEABBBDEBEADAEBBCBEDBBACBBDCE,AADAACADBDBEBCDEAAAAEDEACABABEECCACBAABADDDCB,ACDCCCDECCADBBDBCACBADADAACBACCACCECBDDAEBBAC,1,DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD,CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD,CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE,1.0,120.0,200.0,160.0,160.0,180.0,820.0,C,E,D,B,5,B,A,B,C,B,A,B,B,B,A,B,A,A,B,A,A,C,A,A,B
269,210055104788,2022,6,F,1,3,1,1,2,1,,0,,,,,,,,1504422,Marituba,15,PA,1,1,1,1,1087.0,1056.0,1066.0,1078.0,444.4,468.4,524.6,503.7,CDEDCCDBDBDABBDCBEEEAADDBDADCDABADEBBBDDCDADD,EDAAEABAAAEEBAACAEABECAAACADEEBCDCAADABDECDCA,DAEAAAEBBEDEDAEEEDADEEADCABEEEDAADBCDEABDECEA,AEBABDEBDBCBEBBDABACDEDCCCDBBBBCCBCDDBDCCACCD,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,6.0,0.0,0.0,0.0,0.0,0.0,0.0,H,E,C,B,6,B,C,B,C,A,A,B,B,B,A,A,A,A,A,A,A,E,A,A,B
270,210055816797,2022,5,F,1,3,1,1,1,1,,0,,,,,,,,3304557,Rio de Janeiro,33,RJ,1,1,1,1,1086.0,1055.0,1065.0,1076.0,430.9,483.4,500.6,467.6,EBEAADBDBAEDECAEDCECCCEDABDCEEEEDAEEDDCEEAAAC,DCACDDCBEBAECEADBAABEEDBAEADACDBCDCEEECDADCDA,BCEAEBEEAEABCEBAEDEEBABECCBEDEEBEDECADAEBAECD,ADCCEBEEBDEDCEEECEDBADBACDBEBEABDBEBDEADEBEAE,1,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,120.0,120.0,120.0,120.0,120.0,600.0,E,E,B,B,7,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
